Geographic Area,City,percent_completed_hs,,
SC,Greer city,84.5,city,4
SC,Hampton town,85.9,town,4
SC,Hanahan city,90.1,city,4
SC,Hardeeville city,84.6,city,4
SC,Harleyville town,83.9,town,4
SC,Hartsville city,83.9,city,4
SC,Heath Springs town,78.2,town,4
SC,Hemingway town,93.3,town,4
SC,Hickory Grove town,76.4,town,4
SC,Hilda town,68.1,town,4
SC,Hilton Head Island town,93,town,4
SC,Hodges town,91.8,town,4
SC,Holly Hill town,70.7,town,4
SC,Hollywood town,86.9,town,4
SC,Homeland Park CDP,71.4,Park CDP,8
SC,Honea Path town,77.9,town,4
SC,Hopkins CDP,67.2,CDP,3
SC,India Hook CDP,89.6,CDP,3
SC,Inman city,79.9,city,4
SC,Inman Mills CDP,75.4,CDP,3
SC,Irmo town,92.6,town,4
SC,Irwin CDP,78.3,CDP,3
SC,Islandton CDP,100,CDP,3
SC,Isle of Palms city,99,city,4
SC,Iva town,66.4,#VALUE!,#VALUE!
SC,Jackson town,87.1,town,4
SC,Jacksonboro CDP,79,CDP,3
SC,James Island town,93.6,town,4
SC,Jamestown town,89.1,town,4
SC,Jefferson town,79.9,town,4
SC,Jenkinsville town,83.1,town,4
SC,Joanna CDP,79.3,CDP,3
SC,Johnsonville city,79.7,city,4
SC,Johnston town,70,town,4
SC,Jonesville town,68,town,4
SC,Judson CDP,62.8,CDP,3
SC,Kershaw town,82.2,town,4
SC,Kiawah Island town,99.6,town,4
SC,Kingstree town,80.9,town,4
SC,Kline town,77,town,4
SC,Ladson CDP,84.4,CDP,3
SC,Lake City city,72.1,city,4
SC,Lake Murray of Richland CDP,93.7,CDP,3
SC,Lake Secession CDP,71.3,CDP,3
SC,Lake View town,82.4,town,4
SC,Lakewood CDP,79.7,CDP,3
SC,Lake Wylie CDP,96.4,CDP,3
SC,Lamar town,73.7,town,4
SC,Lancaster city,80.5,city,4
SC,Landrum city,84,city,4
SC,Lane town,90,town,4
SC,Langley CDP,64.1,CDP,3
SC,Latta town,78.8,town,4
SC,Laurel Bay CDP,90.8,CDP,3
SC,Laurens city,78.4,city,4
SC,Lesslie CDP,83.6,CDP,3
SC,Lexington town,93.7,town,4
SC,Liberty city,79.3,city,4
SC,Lincolnville town,80.9,town,4
SC,Little Mountain town,94.4,town,4
SC,Little River CDP,90.1,CDP,3
SC,Livingston town,84.6,town,4
SC,Lockhart town,73.5,town,4
SC,Lodge town,92.1,town,4
SC,Loris city,83.1,city,4
SC,Lowndesville town,61.6,town,4
SC,Lowrys town,78.6,town,4
SC,Lugoff CDP,92.2,CDP,3
SC,Luray town,79.4,town,4
SC,Lydia CDP,72.2,CDP,3
SC,Lyman town,88.2,town,4
SC,Lynchburg town,79,town,4
SC,McBee town,74.9,town,4
SC,McClellanville town,98.2,town,4
SC,McColl town,74.4,town,4
SC,McConnells town,85.3,town,4
SC,McCormick town,70.9,town,4
SC,Manning city,73.6,city,4
SC,Marion city,86.7,city,4
SC,Mauldin city,93.3,city,4
SC,Mayesville town,76.1,town,4
SC,Mayo CDP,71.5,CDP,3
SC,Meggett town,90.1,town,4
SC,Modoc CDP,97,CDP,3
SC,Monarch Mill CDP,71.7,CDP,3
SC,Moncks Corner town,84.7,town,4
SC,Monetta town,83.7,town,4
SC,Mount Carmel CDP,52.3,CDP,3
SC,Mount Croghan town,81.7,town,4
SC,Mount Pleasant town,97.6,town,4
SC,Mountville CDP,100,CDP,3
SC,Mulberry CDP,73.2,CDP,3
SC,Mullins city,77.2,city,4
SC,Murphys Estates CDP,74.5,CDP,3
SC,Murrells Inlet CDP,93.8,CDP,3
SC,Myrtle Beach city,85.7,city,4
SC,Neeses town,79.8,town,4
SC,Newberry city,74.9,city,4
SC,New Ellenton town,82.4,#VALUE!,#VALUE!
SC,Newport CDP,96.4,CDP,3
SC,Newry CDP,37.5,CDP,3
SC,Nichols town,77.9,town,4
SC,Ninety Six town,88.7,town,4
SC,Norris town,73.1,town,4
SC,North town,73.3,town,4
SC,North Augusta city,91,city,4
SC,North Charleston city,81.8,city,4
SC,North Hartsville CDP,80.6,CDP,3
SC,Northlake CDP,95.1,CDP,3
SC,North Myrtle Beach city,92.7,city,4
SC,Norway town,89.4,town,4
SC,Oak Grove CDP,89.1,CDP,3
SC,Oakland CDP,83.1,CDP,3
SC,Olanta town,76,town,4
SC,Olar town,84.8,town,4
SC,Orangeburg city,85,city,4
SC,Oswego CDP,0,CDP,3
SC,Pacolet town,75,town,4
SC,Pageland town,70.4,town,4
SC,Pamplico town,77.3,town,4
SC,Parker CDP,63.4,CDP,3
SC,Parksville town,95.9,town,4
SC,Patrick town,81.5,town,4
SC,Pawleys Island town,100,town,4
SC,Paxville town,85,town,4
SC,Peak town,82.8,town,4
SC,Pelion town,91.6,town,4
SC,Pelzer town,94.7,town,4
SC,Pendleton town,79.1,town,4
SC,Perry town,66.3,town,4
SC,Pickens city,67.9,city,4
SC,Piedmont CDP,82.4,CDP,3
SC,Pine Ridge town,93.3,town,4
SC,Pinewood town,72.6,town,4
SC,Pinopolis CDP,98.4,CDP,3
SC,Plum Branch town,97.4,town,4
SC,Pomaria town,77.9,town,4
SC,Port Royal town,92.9,town,4
SC,Powdersville CDP,87.9,CDP,3
SC,Princeton CDP,100,CDP,3
SC,Privateer CDP,83.3,CDP,3
SC,Promised Land CDP,56.5,Land CDP,8
SC,Prosperity town,77.3,town,4
SC,Quinby town,93,town,4
SC,Ravenel town,81.2,town,4
SC,Red Bank CDP,86.1,CDP,3
SC,Red Hill CDP,87.3,CDP,3
SC,Reevesville town,76.4,town,4
SC,Reidville town,91.3,town,4
SC,Rembert CDP,85.1,CDP,3
SC,Richburg town,77.5,town,4
SC,Ridgeland town,75.6,town,4
SC,Ridge Spring town,83.9,town,4
SC,Ridgeville town,64.4,town,4
SC,Ridgeway town,87.1,town,4
SC,Riverview CDP,63.9,CDP,3
SC,Rock Hill city,88,city,4
SC,Rockville town,97.2,town,4
SC,Roebuck CDP,85.3,CDP,3
SC,Rowesville town,74.9,town,4
SC,Ruby town,81,town,4
SC,Russellville CDP,95.4,CDP,3
SC,St. Andrews CDP,89.9,CDP,3
SC,St. George town,80.7,#VALUE!,#VALUE!
SC,St. Matthews town,76.1,#VALUE!,#VALUE!
SC,St. Stephen town,80,#VALUE!,#VALUE!
SC,Salem town,79.2,town,4
SC,Salley town,82.7,town,4
SC,Saluda town,68.8,town,4
SC,Sangaree CDP,86.9,CDP,3
SC,Sans Souci CDP,73.3,CDP,3
SC,Santee town,84,town,4
SC,Saxon CDP,65.6,CDP,3
SC,Scotia town,85.8,town,4
SC,Scranton town,76.4,town,4
SC,Seabrook Island town,97.8,town,4
SC,Sellers town,60.5,town,4
SC,Seneca city,84.3,city,4
SC,Seven Oaks CDP,92.3,CDP,3
SC,Sharon town,89.4,town,4
SC,Shell Point CDP,96.6,CDP,3
SC,Shiloh CDP,70,CDP,3
SC,Silverstreet town,96.5,town,4
SC,Simpsonville city,91.3,city,4
SC,Six Mile town,87.3,#VALUE!,#VALUE!
SC,Slater-Marietta CDP,58.9,CDP,3
SC,Smoaks town,94,town,4
SC,Smyrna town,67.6,town,4
SC,Snelling town,85.6,town,4
SC,Socastee CDP,87.5,CDP,3
SC,Society Hill town,61.4,town,4
SC,South Congaree town,89.7,town,4
SC,Southern Shops CDP,54.6,CDP,3
SC,South Sumter CDP,75.6,CDP,3
SC,Spartanburg city,82.3,city,4
SC,Springdale CDP,71.3,CDP,3
SC,Springdale town,92.4,town,4
SC,Springfield town,79,town,4
SC,Starr town,85,town,4
SC,Startex CDP,62.3,CDP,3
SC,Stateburg CDP,92.1,CDP,3
SC,Stuckey town,86.3,town,4
SC,Sullivan's Island town,97.6,town,4
SC,Summerton town,76.6,town,4
SC,Summerville town,92.9,town,4
SC,Summit town,89.8,town,4
SC,Sumter city,84,city,4
SC,Surfside Beach town,91.7,town,4
SC,Swansea town,87.1,town,4
SC,Sycamore town,71.2,town,4
SC,Tatum town,95.5,town,4
SC,Taylors CDP,88.1,CDP,3
SC,Tega Cay city,98.1,city,4
SC,Tigerville CDP,100,CDP,3
SC,Timmonsville town,73.1,town,4
SC,Travelers Rest city,87.3,Rest city,9
SC,Trenton town,82,town,4
SC,Troy town,86.5,town,4
SC,Turbeville town,81.9,town,4
SC,Ulmer town,89.3,town,4
SC,Union city,78.9,city,4
SC,Utica CDP,70.1,CDP,3
SC,Valley Falls CDP,89.6,CDP,3
SC,Vance town,88.3,town,4
SC,Varnville town,84.3,town,4
SC,Wade Hampton CDP,88.3,CDP,3
SC,Wagener town,78.1,town,4
SC,Walhalla city,64.5,city,4
SC,Wallace CDP,68.5,CDP,3
SC,Walterboro city,84.5,city,4
SC,Ward town,70.9,town,4
SC,Ware Place CDP,83.8,CDP,3
SC,Ware Shoals town,75.5,town,4
SC,Warrenville CDP,78,CDP,3
SC,Waterloo town,70.3,town,4
SC,Watts Mills CDP,76.2,CDP,3
SC,Wedgefield CDP,83.9,CDP,3
SC,Welcome CDP,72.2,CDP,3
SC,Wellford city,83.9,city,4
SC,West Columbia city,85.1,city,4
SC,Westminster city,80.6,city,4
SC,West Pelzer town,76.3,town,4
SC,West Union town,67.5,town,4
SC,Whitmire town,74.6,town,4
SC,Wilkinson Heights CDP,85.1,CDP,3
SC,Williams town,89.1,town,4
SC,Williamston town,87.6,town,4
SC,Willington CDP,90.1,CDP,3
SC,Williston town,80.7,town,4
SC,Windsor town,77.4,town,4
SC,Winnsboro town,82,town,4
SC,Winnsboro Mills CDP,54.9,Mills CDP,9
SC,Woodfield CDP,85.8,CDP,3
SC,Woodford town,76,town,4
SC,Woodruff city,62.2,city,4
SC,Yemassee town,82.7,town,4
SC,York city,76.5,city,4
SD,Aberdeen city,91.7,city,4
SD,Agar town,100,town,4
SD,Agency Village CDP,85.7,CDP,3
SD,Akaska town,87.1,town,4
SD,Albee town,80,town,4
SD,Alcester city,83.8,city,4
SD,Alexandria city,95.8,city,4
SD,Allen CDP,36.9,CDP,3
SD,Alpena town,74.1,town,4
SD,Altamont town,70,town,4
SD,Anderson CDP,86,CDP,3
SD,Andover town,86.5,town,4
SD,Antelope CDP,60.7,CDP,3
SD,Arlington city,87.4,city,4
SD,Armour city,85.2,city,4
SD,Artas town,80,town,4
SD,Artesian town,73.6,town,4
SD,Ashland Heights CDP,95.4,CDP,3
SD,Ashton city,87.6,city,4
SD,Astoria town,89.9,town,4
SD,Aurora town,94.2,town,4
SD,Aurora Center CDP,82.4,CDP,3
SD,Avon city,92.8,city,4
SD,Badger town,96.3,town,4
SD,Baltic city,92.1,city,4
SD,Bancroft town,82.4,town,4
SD,Batesland town,78.6,town,4
SD,Bath CDP,100,CDP,3
SD,Bath Corner CDP,100,CDP,3
SD,Belle Fourche city,88.7,city,4
SD,Belvidere town,100,town,4
SD,Beresford city,92.1,city,4
SD,Big Stone City city,90,#VALUE!,#VALUE!
SD,Bijou Hills CDP,-,CDP,3
SD,Bison town,90.8,town,4
SD,Blackhawk CDP,92.1,CDP,3
SD,Blucksberg Mountain CDP,82.2,CDP,3
SD,Blunt city,91,city,4
SD,Bonesteel city,86.9,city,4
SD,Bowdle city,83.8,city,4
SD,Box Elder city,92,#VALUE!,#VALUE!
SD,Bradley town,72.4,town,4
SD,Brandon city,97.9,city,4
SD,Brandt town,91.8,town,4
SD,Brant Lake CDP,93.8,CDP,3
SD,Brentford town,90.2,town,4
SD,Bridgewater city,76,city,4
SD,Bristol city,89.5,city,4
SD,Britton city,89.9,city,4
SD,Broadland town,100,town,4
SD,Brookings city,94.9,city,4
SD,Bruce city,90.4,city,4
SD,Bryant city,85.2,city,4
SD,Buffalo town,95.3,town,4
SD,Buffalo Gap town,91.1,town,4
SD,Bullhead CDP,70.3,CDP,3
SD,Burke city,89.6,city,4
SD,Bushnell town,100,town,4
SD,Butler town,84.6,town,4
SD,Camp Crook town,96,town,4
SD,Canistota city,87.2,city,4
SD,Canova town,92.4,town,4
SD,Canton city,94.1,city,4
SD,Caputa CDP,-,CDP,3
SD,Carthage city,93.5,city,4
SD,Castlewood city,96.3,city,4
SD,Cavour town,96.4,town,4
SD,Centerville city,94.4,city,4
SD,Central City city,83.6,city,4
SD,Chamberlain city,89.6,city,4
SD,Chancellor town,91.5,town,4
SD,Chelsea town,100,town,4
SD,Chester CDP,91.1,CDP,3
SD,Claire City town,92.9,town,4
SD,Claremont town,92,town,4
SD,Clark city,86.8,city,4
SD,Clear Lake city,86.5,city,4
SD,Colman city,96.8,city,4
SD,Colome city,94.5,city,4
SD,Colonial Pine Hills CDP,95,CDP,3
SD,Colton city,92.3,city,4
SD,Columbia city,91.3,city,4
SD,Conde city,87.4,city,4
SD,Corn Creek CDP,64.5,CDP,3
SD,Corona town,91.1,town,4
SD,Corsica city,75.5,city,4
SD,Cottonwood town,100,town,4
SD,Cow Creek CDP,100,CDP,3
SD,Cresbard town,86.1,town,4
SD,Crocker CDP,-,CDP,3
SD,Crooks city,92.8,city,4
SD,Custer city,93.6,city,4
SD,Dakota Dunes CDP,97.5,CDP,3
SD,Dallas town,89,town,4
SD,Dante town,90.6,town,4
SD,Davis town,91.4,town,4
SD,Deadwood city,93.1,city,4
SD,Dell Rapids city,93.7,city,4
SD,Delmont city,89.4,city,4
SD,De Smet city,88.6,#VALUE!,#VALUE!
SD,Dimock town,95.1,town,4
SD,Doland city,90.5,city,4
SD,Dolton town,65,town,4
SD,Draper town,87.5,town,4
SD,Dupree city,84.3,city,4
SD,Eagle Butte city,86.3,city,4
SD,Eden town,84.6,town,4
SD,Edgemont city,88.5,city,4
SD,Egan city,87,city,4
SD,Elk Point city,87.8,#VALUE!,#VALUE!
SD,Elkton city,94.4,city,4
SD,Emery city,92.9,city,4
SD,Erwin town,98.1,town,4
SD,Estelline city,84.8,city,4
SD,Ethan town,91.6,town,4
SD,Eureka city,67.2,city,4
SD,Fairburn town,89.1,town,4
SD,Fairfax town,93.5,town,4
SD,Fairview town,80,town,4
SD,Faith city,86.8,city,4
SD,Farmer town,50,town,4
SD,Faulkton city,90.4,city,4
SD,Fedora CDP,100,CDP,3
SD,Ferney CDP,100,CDP,3
SD,Flandreau city,84.4,city,4
SD,Florence town,95.3,town,4
SD,Forestburg CDP,93.3,CDP,3
SD,Fort Pierre city,88.2,city,4
SD,Fort Thompson CDP,79.8,CDP,3
SD,Frankfort city,88.1,city,4
SD,Frederick town,86.4,town,4
SD,Freeman city,86.2,city,4
SD,Fruitdale town,83.9,town,4
SD,Fulton town,93.1,town,4
SD,Gann Valley CDP,100,CDP,3
SD,Garden City town,80.6,town,4
SD,Garretson city,94.9,city,4
SD,Gary city,82.1,city,4
SD,Gayville town,91.7,town,4
SD,Geddes city,87.4,city,4
SD,Gettysburg city,91.6,city,4
SD,Glenham town,93.2,town,4
SD,Goodwill CDP,74.6,CDP,3
SD,Goodwin town,89.3,town,4
SD,Green Grass CDP,100,CDP,3
SD,Green Valley CDP,84.5,CDP,3
SD,Gregory city,83.6,city,4
SD,Grenville town,71.6,town,4
SD,Groton city,95.8,city,4
SD,Hamill CDP,-,CDP,3
SD,Harrisburg city,97.5,city,4
SD,Harrison CDP,95.9,CDP,3
SD,Harrold town,90,town,4
SD,Hartford city,94.6,city,4
SD,Hayti town,92.2,town,4
SD,Hazel town,87.2,town,4
SD,Hecla city,85.5,city,4
SD,Henry town,93.1,town,4
SD,Hermosa town,92.1,town,4
SD,Herreid city,92.9,city,4
SD,Herrick town,76.5,town,4
SD,Hetland town,100,town,4
SD,Highmore city,90.6,city,4
SD,Hill City city,88.1,city,4
SD,Hillsview town,-,town,4
SD,Hitchcock town,90.3,town,4
SD,Hosmer city,78.6,city,4
SD,Hot Springs city,92.7,#VALUE!,#VALUE!
SD,Hoven town,83.8,town,4
SD,Howard city,87.7,city,4
SD,Hudson town,91.7,town,4
SD,Humboldt town,92.5,town,4
SD,Hurley city,97.7,city,4
SD,Huron city,81,city,4
SD,Interior town,95.8,town,4
SD,Ipswich city,89.2,city,4
SD,Irene city,88.9,city,4
SD,Iroquois city,91.4,city,4
SD,Isabel town,92.8,town,4
SD,Java town,86.7,town,4
SD,Jefferson city,91.7,city,4
SD,Johnson Siding CDP,92.3,CDP,3
SD,Kadoka city,90.8,city,4
SD,Kaylor CDP,100,CDP,3
SD,Kennebec town,96.2,town,4
SD,Keystone town,84.2,town,4
SD,Kidder CDP,-,CDP,3
SD,Kimball city,86.7,city,4
SD,Kranzburg town,93.5,town,4
SD,Kyle CDP,67.9,CDP,3
SD,La Bolt town,93.5,#VALUE!,#VALUE!
SD,Lake Andes city,86.5,city,4
SD,Lake City town,89.3,town,4
SD,Lake Madison CDP,96.7,CDP,3
SD,Lake Norden city,91,city,4
SD,Lake Poinsett CDP,97.3,CDP,3
SD,Lake Preston city,91.5,city,4
SD,Lane town,81.5,town,4
SD,Langford town,88.5,town,4
SD,La Plant CDP,51.4,#VALUE!,#VALUE!
SD,Lead city,91.8,city,4
SD,Lebanon town,85.7,town,4
SD,Lemmon city,83.1,city,4
SD,Lennox city,92.9,city,4
SD,Leola city,87.5,city,4
SD,Lesterville town,85.6,town,4
SD,Letcher town,98.4,town,4
SD,Lily town,100,town,4
SD,Little Eagle CDP,78,CDP,3
SD,Long Hollow CDP,86.6,CDP,3
SD,Long Lake town,94.1,town,4
SD,Loomis CDP,100,CDP,3
SD,Lower Brule CDP,75.4,CDP,3
SD,Lowry town,42.9,town,4
SD,McIntosh city,85.6,city,4
SD,McLaughlin city,80.3,city,4
SD,Madison city,92.5,city,4
SD,Manderson-White Horse Creek CDP,48.3,Horse Creek CDP,15
SD,Mansfield CDP,85.5,CDP,3
SD,Marion city,88.8,city,4
SD,Martin city,86.8,city,4
SD,Marty CDP,87.1,CDP,3
SD,Marvin town,72.7,town,4
SD,Meadow View Addition CDP,90.9,CDP,3
SD,Mellette city,97.7,city,4
SD,Menno city,74.7,city,4
SD,Midland town,90.5,town,4
SD,Milbank city,91.8,city,4
SD,Miller city,85.7,city,4
SD,Milltown CDP,100,CDP,3
SD,Mission city,82.3,city,4
SD,Mission Hill town,91.5,town,4
SD,Mitchell city,90.1,city,4
SD,Mobridge city,88.3,city,4
SD,Monroe town,84.5,town,4
SD,Montrose city,90.6,city,4
SD,Morningside CDP,61,CDP,3
SD,Morristown town,85.4,town,4
SD,Mound City town,84.5,town,4
SD,Mount Vernon city,92.2,city,4
SD,Murdo city,90.7,city,4
SD,Naples town,80,town,4
SD,New Effington town,87.5,#VALUE!,#VALUE!
SD,Newell city,88.9,city,4
SD,New Holland CDP,50,CDP,3
SD,New Underwood city,94.2,#VALUE!,#VALUE!
SD,New Witten town,90.4,#VALUE!,#VALUE!
SD,Nisland town,89.5,town,4
SD,Norris CDP,81.4,CDP,3
SD,North Eagle Butte CDP,82.5,CDP,3
SD,North Sioux City city,86.7,city,4
SD,North Spearfish CDP,95.8,CDP,3
SD,Northville town,100,town,4
SD,Nunda town,81.6,town,4
SD,Oacoma town,88.5,town,4
SD,Oelrichs town,83.9,town,4
SD,Oglala CDP,81.8,CDP,3
SD,Okaton CDP,100,CDP,3
SD,Okreek CDP,90.1,CDP,3
SD,Ola CDP,-,CDP,3
SD,Oldham city,94.5,city,4
SD,Olivet town,90.2,town,4
SD,Onaka town,100,town,4
SD,Onida city,94.9,city,4
SD,Orient town,93.9,town,4
SD,Ortley town,90,town,4
SD,Parker city,92.7,city,4
SD,Parkston city,84.8,city,4
SD,Parmelee CDP,68.8,CDP,3
SD,Peever town,92.7,town,4
SD,Philip city,88.3,city,4
SD,Pickstown town,91.7,town,4
SD,Piedmont city,95.2,city,4
SD,Pierpont town,93.7,town,4
SD,Pierre city,89.2,city,4
SD,Pine Lakes Addition CDP,92.9,CDP,3
SD,Pine Ridge CDP,77.6,CDP,3
SD,Plankinton city,81.3,city,4
SD,Platte city,89.5,city,4
SD,Pollock town,82.1,town,4
SD,Porcupine CDP,74.4,CDP,3
SD,Prairie City CDP,100,CDP,3
SD,Presho city,95.2,city,4
SD,Pringle town,92.8,town,4
SD,Pukwana town,91,town,4
SD,Quinn town,96.8,town,4
SD,Ramona town,90.4,town,4
SD,Rapid City city,91.7,city,4
SD,Rapid Valley CDP,96.2,CDP,3
SD,Ravinia town,80.7,town,4
SD,Raymond town,67.3,town,4
SD,Redfield city,92.5,city,4
SD,Ree Heights town,93,#VALUE!,#VALUE!
SD,Reliance town,92.4,town,4
SD,Renner Corner CDP,86,CDP,3
SD,Revillo town,87,town,4
SD,Richland CDP,65.5,CDP,3
SD,Rockham town,100,town,4
SD,Roscoe city,76.4,city,4
SD,Rosebud CDP,75,CDP,3
SD,Rosholt town,89.7,town,4
SD,Roslyn town,85.5,town,4
SD,Roswell CDP,100,CDP,3
SD,Running Water CDP,54.8,CDP,3
SD,St. Charles CDP,100,CDP,3
SD,St. Francis town,81.1,#VALUE!,#VALUE!
SD,St. Lawrence town,93.4,#VALUE!,#VALUE!
SD,St. Onge CDP,100,CDP,3
SD,Salem city,91.3,city,4
SD,Scotland city,80.7,city,4
SD,Selby city,84.2,city,4
SD,Seneca town,100,town,4
SD,Sherman town,98,town,4
SD,Shindler CDP,97.9,CDP,3
SD,Sinai town,83.8,town,4
SD,Sioux Falls city,90.9,city,4
SD,Sisseton city,81.2,city,4
SD,Soldier Creek CDP,41.4,CDP,3
SD,South Shore town,88.6,town,4
SD,Spearfish city,94.4,city,4
SD,Spencer city,81.3,city,4
SD,Spring Creek CDP,61.2,CDP,3
SD,Springfield city,85.8,city,4
SD,Stickney town,91.8,town,4
SD,Stockholm town,93.3,town,4
SD,Storla CDP,100,CDP,3
SD,Strandburg town,94.8,town,4
SD,Stratford town,89.1,town,4
SD,Sturgis city,90.1,city,4
SD,Summerset city,96,city,4
SD,Summit town,76.8,town,4
SD,Tabor town,92.9,town,4
SD,Tea city,96.2,#VALUE!,#VALUE!
SD,Timber Lake city,82.3,city,4
SD,Tolstoy town,83.3,town,4
SD,Toronto town,94.9,town,4
SD,Trent town,95.9,town,4
SD,Tripp city,78.3,city,4
SD,Tulare town,96.8,town,4
SD,Turton town,86.7,town,4
SD,Twin Brooks town,94.6,town,4
SD,Two Strike CDP,69,CDP,3
SD,Tyndall city,86.4,city,4
SD,Utica town,90.6,town,4
SD,Vale CDP,90.7,CDP,3
SD,Valley Springs city,93.3,city,4
SD,Veblen city,81.3,city,4
SD,Verdon town,100,town,4
SD,Vermillion city,96,city,4
SD,Viborg city,85.6,city,4
SD,Vienna town,88.5,town,4
SD,Vilas town,83.3,town,4
SD,Virgil town,57.1,town,4
SD,Vivian CDP,100,CDP,3
SD,Volga city,95.5,city,4
SD,Volin town,90,town,4
SD,Wagner city,86.2,city,4
SD,Wakonda town,85.1,town,4
SD,Wall town,97.8,town,4
SD,Wallace town,100,town,4
SD,Wanblee CDP,91.2,CDP,3
SD,Ward town,100,town,4
SD,Warner town,95.2,town,4
SD,Wasta town,92.3,town,4
SD,Watertown city,91.6,city,4
SD,Waubay city,87.7,city,4
SD,Waverly CDP,100,CDP,3
SD,Webster city,87.7,city,4
SD,Wentworth village,94.7,village,7
SD,Wessington city,85.9,city,4
SD,Wessington Springs city,86.8,city,4
SD,Westport town,89,town,4
SD,Wetonka town,100,town,4
SD,White city,92.7,city,4
SD,Whitehorse CDP,76.3,CDP,3
SD,White Horse CDP,72.9,CDP,3
SD,White Lake city,88.4,city,4
SD,White River city,85.9,city,4
SD,White Rock town,50,town,4
SD,Whitewood city,92.6,city,4
SD,Willow Lake city,85.7,city,4
SD,Wilmot city,79.6,city,4
SD,Winfred CDP,65.3,CDP,3
SD,Winner city,83.7,city,4
SD,Wolsey town,90.4,town,4
SD,Wood town,100,town,4
SD,Woonsocket city,91.2,city,4
SD,Worthing city,91.2,city,4
SD,Wounded Knee CDP,48.8,CDP,3
SD,Yale town,81.5,town,4
SD,Yankton city,91,city,4
TN,Adams city,86.4,city,4
TN,Adamsville town,70.2,town,4
TN,Alamo town,76.1,town,4
TN,Alcoa city,87.2,city,4
TN,Alexandria town,86.6,town,4
TN,Algood city,82,city,4
TN,Allardt city,81,city,4
TN,Altamont town,62.7,town,4
TN,Andersonville CDP,76.1,CDP,3
TN,Apison CDP,94.4,CDP,3
TN,Ardmore city,82,city,4
TN,Arlington town,94.1,town,4
TN,Ashland City town,85.8,town,4
TN,Athens city,84.6,city,4
TN,Atoka town,92.1,town,4
TN,Atwood town,77,town,4
TN,Auburntown town,85.5,town,4
TN,Baileyton town,82.7,town,4
TN,Baneberry city,91.5,city,4
TN,Banner Hill CDP,65.9,CDP,3
TN,Bartlett city,94.2,city,4
TN,Baxter town,76.9,town,4
TN,Bean Station city,77.8,city,4
TN,Beersheba Springs town,45.8,town,4
TN,Bell Buckle town,91.3,town,4
TN,Belle Meade city,98.9,city,4
TN,Bells city,75.5,city,4
TN,Benton town,75.4,town,4
TN,Berry Hill city,91.9,city,4
TN,Bethel Springs town,77.5,town,4
TN,Bethpage CDP,91.2,CDP,3
TN,Big Sandy town,75,#VALUE!,#VALUE!
TN,Blaine city,80.6,city,4
TN,Bloomingdale CDP,82.3,CDP,3
TN,Blountville CDP,78.1,CDP,3
TN,Bluff City city,85.8,city,4
TN,Bolivar city,78.1,city,4
TN,Bon Aqua Junction CDP,71.8,CDP,3
TN,Bowman CDP,69.7,CDP,3
TN,Braden town,78.4,town,4
TN,Bradford town,85.5,town,4
TN,Bransford CDP,74.3,CDP,3
TN,Brentwood city,98.3,city,4
TN,Brighton town,84.3,town,4
TN,Bristol city,83.5,city,4
TN,Brownsville city,79.5,city,4
TN,Bruceton town,77.1,town,4
TN,Bulls Gap town,80.6,town,4
TN,Burlison town,83.8,town,4
TN,Burns town,83.5,town,4
TN,Byrdstown town,76.2,town,4
TN,Calhoun town,85.4,town,4
TN,Camden city,78.6,city,4
TN,Carthage town,74,town,4
TN,Caryville town,78.2,town,4
TN,Castalian Springs CDP,86.7,CDP,3
TN,Cedar Hill city,72.4,city,4
TN,Celina city,74.5,city,4
TN,Centertown town,91.6,town,4
TN,Centerville town,77.3,town,4
TN,Central CDP,71.6,CDP,3
TN,Chapel Hill town,86.9,town,4
TN,Charleston city,78.8,city,4
TN,Charlotte town,65,town,4
TN,Chattanooga city,85.2,city,4
TN,Chesterfield CDP,83.9,CDP,3
TN,Christiana CDP,90,CDP,3
TN,Church Hill city,87,city,4
TN,Clarkrange CDP,85.4,CDP,3
TN,Clarksburg town,78.6,town,4
TN,Clarksville city,92.2,city,4
TN,Cleveland city,82.5,city,4
TN,Clifton city,69.5,city,4
TN,Clinton city,87.3,city,4
TN,Coalfield CDP,89.9,CDP,3
TN,Coalmont city,68.3,city,4
TN,Collegedale city,92.5,city,4
TN,Collierville town,96.5,town,4
TN,Collinwood city,75.3,city,4
TN,Colonial Heights CDP,93.1,CDP,3
TN,Columbia city,85.1,city,4
TN,Cookeville city,86.2,city,4
TN,Coopertown town,92.1,town,4
TN,Copperhill city,79.1,city,4
TN,Cornersville town,85.8,town,4
TN,Cottage Grove town,88.6,town,4
TN,Cottontown CDP,92.1,CDP,3
TN,Covington city,78.8,city,4
TN,Cowan city,71,city,4
TN,Crab Orchard city,66.6,city,4
TN,Cross Plains city,85.5,city,4
TN,Crossville city,79.1,city,4
TN,Crump city,75.9,city,4
TN,Cumberland City town,84.9,City town,9
TN,Cumberland Gap town,85.4,Gap town,8
TN,Dandridge town,81.8,town,4
TN,Darden CDP,72.5,CDP,3
TN,Dayton city,72.8,city,4
TN,Decatur town,84.3,town,4
TN,Decaturville town,73.3,town,4
TN,Decherd city,75.6,city,4
TN,Dickson city,84,city,4
TN,Dodson Branch CDP,81.8,CDP,3
TN,Dover city,84.4,city,4
TN,Dowelltown town,85.1,town,4
TN,Doyle town,80.9,town,4
TN,Dresden town,79.7,town,4
